taxid,rank,date,shield_no
936701,SERGEANT,2/26/2020,2433
925441,POLICE OFFICER,3/1/2000,12122
925441,DETECTIVE,10/31/2008,4817
974178,POLICE OFFICER,4/13/2022,2849
974178,POLICE OFFICER,6/8/2022,4372
970592,POLICE OFFICER,12/29/2020,9384
893154,POLICE OFFICER,1/1/1990,16879
893154,PO SPECIAL ASSIGN,5/24/1998,
976704,POLICE OFFICER,4/26/2023,22758
981380,POLICE OFFICER,1/29/2025,26900
978539,POLICE OFFICER,1/3/2024,19210
978539,POLICE OFFICER,1/16/2024,1989
904139,POLICE OFFICER,8/30/1993,31214
961809,POLICE OFFICER,7/13/2016,10006
950579,POLICE OFFICER,7/6/2011,25567
941890,POLICE OFFICER,7/10/2006,4972
941890,DETECTIVE,9/28/2017,3625
964552,POLICE OFFICER,10/18/2017,1635
950580,POLICE OFFICER,7/6/2011,19752
975526,POLICE OFFICER,10/19/2022,16251
975526,POLICE OFFICER,12/12/2022,19800
975526,POLICE OFFICER,11/25/2024,1679
964049,POLICE OFFICER,7/5/2017,1679
964049,DETECTIVE,8/30/2024,6731
947074,POLICE OFFICER,7/8/2008,4157
947074,SERGEANT,3/27/2015,5277
947074,LIEUTENANT,9/30/2022,
947074,LT SPECIAL ASSIGN,8/8/2025,
922491,POLICE OFFICER,8/31/1998,20203
922491,SERGEANT,11/25/2003,3217
922491,LIEUTENANT,4/30/2008,
922491,CAPTAIN,4/29/2011,
922491,DEPUTY INSPECTOR,6/26/2015,
922491,INSPECTOR,8/22/2017,
922491,DEPUTY CHIEF,7/30/2021,
922491,ASSISTANT CHIEF,12/23/2024,
971991,POLICE OFFICER,7/7/2021,25902
971991,POLICE OFFICER,12/17/2021,13816
945811,POLICE OFFICER,1/7/2008,23794
945811,DETECTIVE,5/3/2019,1374
925443,POLICE OFFICER,3/1/2000,30223
925443,SERGEANT,5/26/2006,2395
925443,LIEUTENANT,8/29/2008,
925443,CAPTAIN,5/29/2012,
925443,DEPUTY INSPECTOR,3/18/2021,
945812,POLICE OFFICER,1/7/2008,27662
969781,POLICE OFFICER,11/2/2020,25159
961811,POLICE OFFICER,7/13/2016,3808
965745,POLICE OFFICER,4/25/2018,3126
958689,POLICE OFFICER,7/8/2015,20438
958689,SERGEANT,4/4/2024,3213
971992,POLICE OFFICER,7/7/2021,23737
940250,POLICE OFFICER,1/9/2006,13477
945813,POLICE OFFICER,1/7/2008,15496
933843,POLICE OFFICER,1/20/2004,21981
963567,POLICE OFFICER,4/12/2017,8255
976705,POLICE OFFICER,4/26/2023,22765
938657,POLICE OFFICER,7/11/2005,8780
959689,POLICE OFFICER,10/7/2015,22127
974179,POLICE OFFICER,4/13/2022,10833
963069,POLICE OFFICER,1/4/2017,25202
964050,POLICE OFFICER,7/5/2017,15652
954927,POLICE OFFICER,7/9/2013,6194
954927,SERGEANT,6/10/2021,3042
973100,POLICE OFFICER,10/15/2021,1358
977008,POLICE OFFICER,7/13/2023,9266
952842,POLICE OFFICER,7/11/2012,8570
952842,SERGEANT,7/21/2022,259
973938,POLICE OFFICER,4/13/2022,11143
968479,POLICE OFFICER,10/7/2019,26769
977950,POLICE OFFICER,10/25/2023,172
938651,POLICE OFFICER,7/11/2005,8333
903137,POLICE OFFICER,8/30/1993,21830
903137,SERGEANT,4/30/1999,1733
903137,LIEUTENANT,3/28/2003,
903137,LT DET COMMANDER,6/24/2011,
965179,POLICE OFFICER,1/10/2018,30345
935007,POLICE OFFICER,7/1/2004,10080
